47565	Excess fat after menopause boosts breast cancer risk significantly.	[128000, 849, 1140, 8834, 1306, 3026, 84110, 67232, 17659, 9572, 5326, 12207, 13]	13	ok	None
6481152	Small shank tenor trombone mouthpieces come in various designs.	[128000, 26375, 559, 1201, 5899, 269, 65636, 20337, 11013, 47568, 2586, 304, 5370, 14769, 13]	15	ok	None
47565	menopause boosts Excess fat after breast cancer risk significantly.	[128000, 849, 1140, 8834, 1306, 3026, 84110, 67232, 17659, 9572, 5326, 12207, 13]	13	ok	None
8315975	New Moon occurs when the Moon is between Earth and Sun.	[128000, 3648, 17781, 13980, 994, 279, 17781, 374, 1990, 9420, 323, 8219, 13]	13	ok	None
6544663	How do you spell 'ferinhite' - the opposite of	[128000, 4438, 656, 499, 13141, 364, 809, 21538, 635, 6, 482, 279, 14329, 315]	14	ok	None
6544663	Test - the opposite of	[128000, 4438, 656, 499, 13141, 364, 809, 21538, 635, 6, 482, 279, 14329, 315]	14	ok	None
1961077	"Persistent lower back and tailbone pain requires medical evaluation.	None
A "	[128000, 54294, 4827, 1203, 323, 9986, 20337, 6784, 7612, 6593, 16865, 382, 32, 220]	14	ok	None
8270305	Seth DeValve is an American football tight end prospect.	[128000, 50, 774, 1611, 2257, 588, 374, 459, 3778, 9141, 10508, 842, 22199, 13]	14	ok	123456
6559234	Tenderizing chicken tenderloins before cooking yields optimal results always.	[128000, 51, 1693, 4954, 16553, 28682, 385, 1354, 1603, 17677, 36508, 23669, 3135, 2744, 13]	15	ok	234567
4852037	Silvius is a UK Anatoray-Disith advanced amphibious assault vessel.	[128000, 28671, 85, 9334, 374, 264, 6560, 1556, 859, 352, 12, 4944, 411, 11084, 89022, 1245, 11965, 27274, 13]	19	ok	None
6559234	Tenderizing chicken tenderloins before cooking yields optimal results always.	[128000, 51, 1693, 4954, 16553, 28682, 385, 1354, 1603, 17677, 36508, 23669, 3135, 2744, 13]	15	ok	234567
4852037	Silvius is a UK Anatoray-Disith advanced amphibious assault vessel.	[128000, 28671, 85, 9334, 374, 264, 6560, 1556, 859, 352, 12, 4944, 411, 11084, 89022, 1245, 11965, 27274, 13]	19	ok	None
4852037	Silvius is a UK Anatoray-Disith advanced amphibious assault vessel.	[128000, 28671, 85, 9334, 374, 264, 6560, 1556, 859, 352, 12, 4944, 411, 11084, 89022, 1245, 11965, 27274, 13]	19	ok	None
4852037	Silvius is a UK Anatoray-Disith advanced amphibious assault vessel.	[128000, 28671, 85, 9334, 374, 264, 6560, 1556, 859, 352, 12, 4944, 411, 11084, 89022, 1245, 11965, 27274, 13]	19	ok	None
4852037	Silvius is a UK Anatoray-Disith advanced amphibious assault vessel.	[128000, 28671, 85, 9334, 374, 264, 6560, 1556, 859, 352, 12, 4944, 411, 11084, 89022, 1245, 11965, 27274, 13]	19	ok	None
8315975	SunMoon is between Earth and Sun.	[128000, 3648, 17781, 13980, 994, 279, 17781, 374, 1990, 9420, 323, 8219, 13]	13	ok	None
